,title,author,degree,degre_year,advisors,committee_members,subjects
110,"From the Document Up: Digital Scholarly Editing via a Document-rooted Abstraction 
Layer Model of Text Representation","Broughton, William",Doctor of Philosophy,2022,Brewer,David A. Brewer ; John M. Jones ; E. Leigh Bonds ,Language; Language Arts; Literature
111,Intention and the Mid-seventeenth Century Poetry Edition,"Russell, Shaun",Doctor of Philosophy,2022,,Hannibal Hamlin ; Erin McCarthy ; Luke Wilson ; Karen Winstead ,British and Irish Literature; Literature
112,"Rhetorical Emptiness: Decolonial Methods for Engaging Incommensurable Systems of
Knowledge","Collins, Jason",Doctor of Philosophy,2022,Christa Teston,Christa Teston ; John Jones ; Jonathan Buehl ; Kristin Arola ,Native American Studies; Rhetoric; Technical Communication
113,Subscribing to Expertise: Style and the Rhetorical Relationships of Popularizers and their Audiences on YouTube,"Bashford, Andrew",Doctor of Philosophy,2022,Jonathan Buehl,Jonathan Buehl ; Susan Lang ; James Fredal ,Composition; Rhetoric
114,Diverging by Design: The Narrative Rhetoric of Choice-based Role-playing Games,"Sweet, Andrew",Doctor of Philosophy,2022,,Sean O'Sullivan ; James Phelan ; Jesse Schotter ,Literature; Mass Media; Rhetoric
115,"Care, Capacity, and Mental Health in Graduate School in the Wake of COVID-19: New Materialist Theories and Methodologies","Miller, Liz",Doctor of Philosophy,2022,Margaret Price,Margaret Price ; Wendy Hesford ; Christa Teston ,Mental Health; Rhetoric
116,"Ready, Player Juan: Navigating Latinx Masculinities and Stereotypes in Video Games","Kelly, Carlos",Doctor of Philosophy,2022,,Paloma Martinez-Cruz ; Frederick Aldama ,Ethnic Studies; Gender; Latin American Studies; Literature; Mass Media; Minority and Ethnic Groups; Performing Arts
117,"Material Modernism: Nature, Resources, and Aesthetics","Hartke, Katelyn",Doctor of Philosophy,2022,Davis,Thomas S. Davis ; Adeleke Adeeko ; Jesse Schotter ,Aesthetics; Environmental Studies; Literature
118,"The Phantoms of a Thousand Hours: Ghostly Poetics and the Poetics of the Ghost in British Literature, 1740-1914","Rooney, John",Doctor of Philosophy,2022,,Jill Galvan ; Sandra Macpherson ; Hannibal Hamlin ; Jacob Risinger ,Literature
119,"Tactile Theology: Gender, Misogyny, and Possibility in Medieval English Literature","Hoffman, Nicholas",Doctor of Philosophy,2022,Leslie Lockett;Karen Winstead,Leslie Lockett ; Ethan Knapp ; Christopher Jones ; Karen Winstead ,Gender Studies; Medieval Literature
120,Women Writing Kinship: U.S. Ethnic Historiographic Fiction in the 2000s,"Irizarry, Arielle",Doctor of Philosophy,2022,Martin Joseph Ponce,Martin Joseph Ponce ; Ashley Hope Pérez ; Brian McHale ,American Literature; Ethnic Studies; Literature
121,"Postcolonial Exceptions: Cultural Lives of the Indian National Emergency, 1975-1977","Singh, Preeti",Doctor of Philosophy,2022,Pranav Jani,Pranav Jani ; Jared Gardner ; Wendy Hesford ; Mytheli Sreenivas ,Comparative Literature; Film Studies; Literature; South Asian Studies
122,"Unnatural Narratives and Post-World War II Politics: Revisiting Novels by Kurt Vonnegut Jr., Maxine Hong Kingston, Angela Carter, Ralph Ellison, and Toni Morrison 
","Opliger, Bonnie",Doctor of Philosophy,2022,Pranav Jani;Frederick Aldama,Pranav Jani ; Frederick Aldama ,American Literature
123,"Profound Possibilities: Microscopic Science and the Literary Imagination, 1820-1900","Carmack, Jeremy",Doctor of Philosophy,2022,Clare Simmons;Jill Galvan,Clare Simmons ; Jill Galvan ; Amanpal Garcha ,Literature
124,"More Than Reading: Narrative, Medial Frames, and Digital Media in the Contemporary Novel","Van Tassell, Evan",Doctor of Philosophy,2022,,Brian McHale ; Jared Gardner ; James Phelan ,Comparative Literature; Literature; Modern Literature
125,"""That Old Serpent"": Medical Satires of Eighteenth-Century Britain","Hungerpiller, Audrey",Doctor of Philosophy,2022,Sandra Macpherson,Sandra Macpherson ; Jennifer Higginbotham ; David Brewer ,Literature
126,Articulating Dolls: Pygmalionism in Nineteenth-Century Literature and Culture,"Matlock, Michelle",Doctor of Philosophy,2022,Michelle Abate,Michelle Abate ; Patricia Enciso ; Clare Simmons ; Victoria Ford Smith ,American Literature; British and Irish Literature; Gender Studies; Literature
127,"Seeing the Code: Text, Markup, and Digital Humanities Pedagogy","Conatser, Trey",Doctor of Philosophy,2022,,Scott DeWitt ; Jonathan Buehl ; John Jones ; Ben McCorkle ,Composition; Education; Information Technology; Pedagogy; Rhetoric; Teaching
128,Rhetorical Analysis of Black College Student Public Writing at A Predominantly White Institution,"Lawson, Amelia",Doctor of Philosophy,2023,,Beverly J. Moss ; Jonathan Buehl ; Kay Halasek ,African Americans; Composition
129,Naming What They Know: Instructor Perspectives on Students' Prior Knowledge Transfer in First-Year Writing,"Hambrick, Keira",Doctor of Philosophy,2023,Kay Halasek,Kay Halasek ; Scott L. DeWitt ; Beverly J. Moss ; Timothy San Pedro ,Curriculum Development; Education; Literacy; Rhetoric; Teacher Education
130,"Didacticism in Contemporary Illness Narratives: Dialogue, Subjectivity, Justice
","Ferraro, Antonio",Doctor of Philosophy,2023,James Phelan,James Phelan ,Literature
131,Dancing Descriptions: Choreographing Middle English Romance,"Morrison, Clinton",Doctor of Philosophy,2023,Karen Winstead,Karen Winstead ; Eric Johnson ; Ethan Knapp ,Literature; Medieval Literature
132,Material Girls: Embodiment and Affinity in Seventeenth-Century Women's Poetry,"Pachay, Meaghan",Doctor of Philosophy,2023,Jennifer Higginbotham,Jennifer Higginbotham ; Luke Wilson ; Sarah Neville ; Elizabeth Kolkovich ,Literature
133,"Resisting Romance, Denying Desire: Genre, Sexuality, and the Problem of Consent in Late Medieval English Literature
","Greff, Abigail",Doctor of Philosophy,2023,Karen Winstead,Karen Winstead ,Literature; Middle Ages
134,Constructing Empowerment: Epistemic and Deontic Authority in Patient-Centered Care Interactions,"Richards, Nathan",Doctor of Philosophy,2023,Gabriella Modan,Gabriella Modan ; Seuli Bose Brill ; James Phelan ; Amy Shuman ,Health; Health Care; Language
135,Finding Televisual Folklore in the Supernatural Procedural,"Mathews-Pett, Amelia",Doctor of Philosophy,2023,Dorothy Noyes;Jared Gardner,Dorothy Noyes ; Angus Fletcher ; Merrill Kaplan ; Jared Gardner ,Film Studies; Folklore; Mass Media
136,Social Mediated Latinas: Creating and Contouring Digital Latina Looks in the Twenty-First Century,"Sweeney, Katlin",Doctor of Philosophy,2023,,Frederick Aldama ; Jian Chen ; Paloma Martinez-Cruz ; Guisela Latorre ,Ethnic Studies; Film Studies; Gender Studies; Hispanic American Studies; Hispanic Americans; Literature; Mass Media; Web Studies; Womens Studies
137,"Embracing Linguistic Justice in Writing Pedagogies: 
Collaboratively Developing Responsible Grammar Instruction across the Curriculum","Koneval, Addison",Doctor of Philosophy,2023,Beverly Moss,Beverly Moss ; Jonathan Buehl ; Evonne Kay Halasek ,Composition; Curricula; Higher Education; Teaching
138,The [Invisible] Souls of [Disabled] Black Folk: Afrophantasm as Theory and Practice,"Neal, D'Arcee",Doctor of Philosophy,2023,,John Jones ; Nick White ; Amrita Dhar ; Kishonna Gray ,African American Studies; African Americans; American Studies; Black History; Black Studies; Comparative Literature
139,Pain Management in Nineteenth-Century American Literature,"Utphall, Jamie",Doctor of Philosophy,2023,Elizabeth Hewitt,Elizabeth Hewitt ,Literature
140,"Musical Hierarchies in the Modernist Novel: Adorno, Literary Modernism, and the Promise of Equitable Social Structures","Ameter, Alison",Doctor of Philosophy,2023,Jesse Schotter,Jesse Schotter ; Arved Ashby ; Thomas Davis ,Literature
141,“Aha!” Moments: Appeals to Attentive Viewing in Serial Film and Television,"Bollinger, Nicholas",Doctor of Philosophy,2023,,Jared Gardner ; Amanpal Garcha ; Robyn Warhol ,Film Studies; Motion Pictures
142,The Problems of Leisure in the Industrial-Era US,"Bishop, Andrew",Doctor of Philosophy,2023,,Elizabeth Hewitt ; Jesse Schotter ; Jared Gardner ,American Literature
143,Still Warm to the Touch: Tradition and Rural Print Culture in the Ozarks,"Marsden, Mariah",Doctor of Philosophy,2023,Dorothy Noyes,Dorothy Noyes ; Brooks Blevins ; Gabriella Modan ; Elizabeth Hewitt ,American Studies; Folklore; Regional Studies
144,"Understanding Dementia-disrupted Narrative Identity through Contemporary Fiction: Narrative Resources in Stories by Edwidge Danticat, Alice Munro, and Lisa Genova.","Ruan, Shan",Doctor of Philosophy,2024,James Phelan,James Phelan ; Hannibal Hamlin ; Angus Fletcher ,Literature; Medical Ethics
145,The Revolution Will [Not] Be Commodified: Anti-Capitalism Goes Pop,"Ellis, Dennin",Doctor of Philosophy,2024,,James Phelan ; Angus Fletcher ; Brian McHale ,Film Studies; Literature
146,"Desiring the Hong Kong Story: Affective Attachments and Futures in Hong Kong
Literature","Ma, Ming Yan",Doctor of Philosophy,2024,Pranav Jani,Pranav Jani ; Jian Chen ; Martin Ponce ,Asian Literature; Literature
147,Simulation Rhetorics: A Case Study of Interprofessional Healthcare Training,"Guadrón, Melissa",Doctor of Philosophy,2024,Christa Teston,Christa Teston ; Lauren McInroy ; Margaret Price ,Health Care; Rhetoric; Technical Communication
148,"The Comics of COVID-19: A Narrative Medicine Reading of 
the Comics Produced During the Pre-Vaccine Period of COVID-19","Rubalcava, Rolando",Doctor of Philosophy,2024,,James Phelan Dr. ; Julia Hawkins ; Frederick Luis Aldama Dr. ; Jared Gardner Dr. ,American Literature; Medical Ethics
149,Contemporary Crises and Contemporary Speculative Fiction: Social Change Through Affect,"Grifka Wander, Michael",Doctor of Philosophy,2024,Jared Gardner,Jared Gardner ; Thomas Davis ; Brian McHale ,Climate Change; Comparative Literature; Literature
150,Digital Metis; Computer Hacking as Agonistic and Metic Rhetoric.,"Turpin, Christoffer",Doctor of Philosophy,2024,,John Jones ; Ben McCorkle ; Jonathan Buehl ,Information Technology; Rhetoric
151,"Kakokairos: A not-altogether-unserious theory of time, narrative, and autism","Yeager, Sean",Doctor of Philosophy,2024,Brian McHale;Amy Shuman,Brian McHale ; Amy Shuman ; Julia Miele Rodas ; La Marr Jurelle Bruce ; James Phelan ,American Literature; Language; Literature; Mental Health; Physics
152,Carceral Colonialism: A Rhetorical Genealogy of Man at the New World Turn,"Hashlamon, Yanar",Doctor of Philosophy,2024,,Christa Teston ; Beverly Moss ; Wendy Hesford ; Pranav Jani ,Ethnic Studies; History; Literacy; Minority and Ethnic Groups; Rhetoric
153,Examining the Programmatic Practices of First-Year Composition at Hispanic-Serving Institutions (HSIs),"Gonzalez, Caleb",Doctor of Philosophy,2024,,Beverly Moss ; Lizbett Tinoco ; Jonathan Buehl ; Kay Halasek ,Communication; Community Colleges; Composition; Education History; Higher Education; Hispanic American Studies; Hispanic Americans; Language; Language Arts; Literacy; Minority and Ethnic Groups; Teaching
154,"Legendry and The Blair Witch Project: Reimagining the Folkloresque as Process and Participation
","DeCarlo, Evan",Doctor of Philosophy,2024,Merrill Kaplan,Merrill Kaplan ; Amy Shuman ; Elizabeth Hewitt ; Dorothy Noyes ,American Studies; Film Studies; Folklore; Literature
155,"Fractured Solidarities: Mapping a Black Internationalist Imaginary, 1955 till Present","Odumboni, Oluwakayode",Doctor of Philosophy,2024,Adeleke Adeeko,Adeleke Adeeko ; Kwaku Korang ; Koritha Mitchell ; Pranav Jani ,African American Studies; African Literature; African Studies
156,Nineteenth-Century Nowhere: Mapping Utopian and Dystopian Rhetoric in Literature and Life Writing,"Mason, Kelsey",Doctor of Philosophy,2024,Amanpal Garcha,Amanpal Garcha ; Elizabeth Hewitt ; James Phelan ,American Literature; British and Irish Literature; Literature
157,Rhetorical Place-Making in Post-Extractive Appalachian Ohio,"Woodward, Jordan",Doctor of Philosophy,2024,Christa Teston,Christa Teston ; Katherine Borland ; Wendy Hesford ; Jonathan Buehl ,Communication; Environmental Studies; Folklore; Geography; Rhetoric; Technical Communication
158,"Going Back to Where It All Started: The Elegiac Sequel as a Storytelling Strategy in Blockbuster Films
","Thompson, Alexander",Doctor of Philosophy,2024,Jared Gardner,Jared Gardner ; Amanpal Garcha ; Ryan Friedman ,Film Studies
159,Decolonial Posthumanism and Queer Kinship in the Capitalocene,"Del Toro, Peyton",Doctor of Philosophy,2024,,Adéléke Adéè̳kó̳ ; Guisela Latorre ; Paloma Martinez-Cruz ,Comparative Literature; Environmental Justice; Gender; Literature; Minority and Ethnic Groups; Modern Literature; Womens Studies
160,"Knowledge-Making in Early Modern Englishwomen's Literary Writings, 1570 -1650

","Mahadin, Tamara",Doctor of Philosophy,2024,Sarah Neville,Sarah Neville ; Elizabeth Kolkovich ; Alan B. Farmer ,History; Literature; Science History; Womens Studies
161,"Cartographics: Comics, Maps, and Storytelling","Colon Alvarez, Natalia",Doctor of Philosophy,2024,Jared Gardner,Jared Gardner ; Robyn Warhol ; James Phelan ,American Literature; American Studies; Literature
162,Playing with Comics: Material Culture in the Hands of 20th-Century American Readers,"Podraza, Morgan",Doctor of Philosophy,2024,Jared Gardner,Jared Gardner ; Robyn Warhol ; Caitlin McGurk ,American History; American Studies; Gender; Mass Media
